"panel_order","panel","row_label","y","psi","alpha_rosen","psi_plus_alpha"
1,"Panel A. Overall","Total difference",0.00205400466502237,NA,NA,NA
1,"Panel A. Overall","Men's prices",NA,0.000103441894079544,0.216797285902596,0.216902590168402
1,"Panel A. Overall","Women's prices",NA,-0.000131362007397206,-0.192010120220879,-0.192141482228276
2,"Panel B. Pre-period (2018--2019)","Total difference",0.00296321496404772,NA,NA,NA
2,"Panel B. Pre-period (2018--2019)","Men's prices",NA,-0.000868898341307468,0.190293701099839,0.189509413528759
2,"Panel B. Pre-period (2018--2019)","Women's prices",NA,-0.0021083835491676,-0.158726524577289,-0.160635102551317
3,"Panel C. Post-period (2021--2022)","Total difference",0.00218730015465063,NA,NA,NA
3,"Panel C. Post-period (2021--2022)","Men's prices",NA,0.00032597808702278,0.18401266968708,0.183876750979471
3,"Panel C. Post-period (2021--2022)","Women's prices",NA,-0.000454835848277147,-0.161742329663915,-0.162033210648616
4,"Panel D. Diff-in-Diff","Total difference",-0.000775914809397094,NA,NA,NA
4,"Panel D. Diff-in-Diff","Men's prices",NA,0.00119487642833025,-0.00628103141275854,-0.00563266254928799
4,"Panel D. Diff-in-Diff","Women's prices",NA,0.00165354770089045,-0.00301580508662599,-0.00139810809729848
5,"Panel E. Offer distribution: overall","Men's prices",NA,-2.43566126143223e-05,-9.95066082860764e-08,-4.05114712261435e-12
5,"Panel E. Offer distribution: overall","Women's prices",NA,-4.11415913062962e-05,0.000665292633959736,0.000624151042653439
6,"Panel F. Offer distribution: pre-period (2018--2019)","Men's prices",NA,0.000351747313161323,0.00498960260435095,0.0053439788913224
6,"Panel F. Offer distribution: pre-period (2018--2019)","Women's prices",NA,-0.000210056738177735,-0.00296751332996241,-0.0030620124136359
7,"Panel G. Offer distribution: post-period (2021--2022)","Men's prices",NA,0.000964182099865348,0.0105413965859466,0.0107405006728545
7,"Panel G. Offer distribution: post-period (2021--2022)","Women's prices",NA,-2.82779215771868e-05,0.00503905510843406,0.00542030465293784
8,"Panel H. Offer distribution: Diff-in-Diff","Men's prices",NA,0.000612434786704025,0.00555179398159563,0.00539652178153209
8,"Panel H. Offer distribution: Diff-in-Diff","Women's prices",NA,0.000181778816600548,0.00800656843839647,0.00848231706657375
